Sglm1-c,Sglm1-S,Sglm1-P,Sglm1-Or,Sglm1-Oi,Sglm1-bonus,Sglm2-c,Sglm2-S,Sglm2-P,Sglm2-Or,Sglm2-Oi,Sglm2-bonus,Pglm1-c,Pglm1-S,Pglm1-P,Pglm1-Or,Pglm1-Oi,Pglm1-bonus,Pglm2-c,Pglm2-S,Pglm2-P,Pglm2-Or,Pglm2-Oi,Pglm2-bonus,Gglm1-c,Gglm1-S,Gglm1-P,Gglm1-O1,Gglm1-O2,Gglm1-bonus,Gglm2-c,Gglm2-S,Gglm2-P,Gglm2-O1,Gglm2-O2,Gglm2-bonus
-0.14535,0.15409,0.19489,-0.88993,-0.54942,0.99022,-1.0396,0.43068,-0.0017674,-0.60873,-0.15342,0.48883,-1.1473,-0.34803,1.0177,-0.40767,-0.10418,1.1145,-1.5184,0.88934,0.84965,-0.76321,0.4505,0.44528,-0.84853,0.45508,0.3491,-0.44176,-0.22762,1.1715,-1.7903,0.14309,0.52252,-1.3094,-0.83774,1.2868
0.44262,1.1916,0.69583,-0.51718,0.023891,0.7193,0.78246,0.77585,0.082583,-0.11533,0.2111,0.85495,0.46933,0.3253,0.35487,-0.34657,-0.39807,0.27457,0.17,-0.1559,0.081257,-0.5056,0.30706,0.62934,1.5124,0.83096,1.2826,-0.32467,-0.36403,0.35941,1.1368,0.26745,0.58543,-0.38547,-0.35105,1.5634
-0.68506,1.3878,0.42791,-0.49507,0.062308,0.86464,-1.6215,1.3892,0.064215,-1.0359,0.045424,0.37112,-0.93962,0.48605,0.98583,-1.1037,-0.22589,0.39289,-1.2982,0.53398,1.0451,-0.18344,0.16863,-0.021776,-0.1364,1.0546,0.44027,-0.12286,-0.33367,0.91076,-0.865,0.84969,1.2048,-0.66058,-0.69228,0.94482
0.40289,0.3304,0.18574,-0.25663,-0.31486,0.77333,0.22759,0.29417,-0.24347,-0.22705,-0.051815,1.0733,1.0029,-0.01729,0.26212,-0.91659,-0.42006,0.58794,0.88001,0.42119,0.80188,-0.90191,-0.53034,0.82794,1.3335,0.49499,-0.2279,-0.49914,-0.60822,0.75958,0.57409,0.044986,0.70477,-0.70361,-0.36306,1.0447
-0.57951,1.2323,1.0253,-0.64578,-0.055071,0.065727,-0.5104,1.3206,0.74461,-0.67188,-0.40132,-0.19709,-0.70214,0.7796,0.94644,-0.59958,-0.55263,0.3606,-0.38349,0.83785,0.79465,-0.42096,-0.63804,0.19643,-0.36452,0.70925,0.062525,-0.67395,-0.73602,0.63448,-0.70852,1.291,0.77849,-0.66518,0.022362,1.3957
0.41479,1.0801,0.39868,-0.90115,-0.63813,0.45926,0.56606,0.77479,0.42885,-0.079974,0.70981,0.40235,0.22036,0.36857,0.62399,-0.58663,-0.15128,0.21681,-0.53642,-0.18815,0.98901,-0.58453,0.21208,0.22067,0.51833,0.077123,0.7465,-1.0007,-0.2318,-0.36573,-0.24419,1.3358,0.85094,-0.012077,-1.0265,-0.87752
-0.10182,1.5353,0.2684,-1.0599,0.16114,0.53236,-0.44521,1.4078,-0.1691,-1.1996,-0.24428,0.72412,0.54945,0.37859,1.2013,-1.2233,-0.16784,0.24533,-0.2611,-0.049238,1.2892,-1.3911,0.092883,0.76201,-0.95189,1.0309,1.1247,-1.0373,-0.65504,0.40192,0.66082,1.2264,1.2644,-1.2201,-0.38738,0.74454
0.20083,1.2255,-0.11717,-1.1899,0.099483,1.016,0.19007,1.4439,0.14286,-1.3339,0.2635,0.40945,-0.02029,0.20601,1.406,-1.4478,0.11997,0.75568,0.17981,0.10569,1.2623,-1.0005,-0.33637,0.67238,0.229,0.8383,1.2078,-0.83879,-1.3265,0.93758,-0.15478,1.1913,1.0476,-1.2957,-0.99635,1.1738
-0.82662,1.1209,-0.18579,-0.47792,-0.33185,0.65857,-0.49421,0.90433,-0.10841,-0.5211,-0.22083,0.52292,-0.37386,-0.29408,1.1236,-0.29974,-0.4209,0.34682,-0.31237,-0.097938,0.97956,-0.86768,0.44051,-0.31005,-0.74191,0.58935,0.54893,-0.60442,-0.82958,1.0203,-0.030071,0.91845,1.1274,-0.98584,-1.0006,0.7942
-0.28805,1.0218,-0.24292,-1.0636,-0.47807,0.91172,-0.68347,0.37519,-0.24217,-0.51311,0.033718,0.79929,-1.0546,-0.071234,1.4343,-0.77723,-0.057749,-0.10851,-1.1451,-0.11221,0.56065,-0.80376,0.1401,0.40079,-1.6321,1.0579,0.54336,-0.79668,-0.36456,1.1081,-1.3214,0.89328,0.68848,-0.71496,-0.56788,1.1675
-0.50323,0.95653,-0.074324,-0.54681,-0.52568,0.71161,0.22812,0.72145,0.44162,-1.321,0.23009,1.0329,0.22112,0.059481,0.67913,-0.71369,-0.55644,0.75773,0.039365,0.60886,0.85373,-0.8902,-0.082187,0.75422,0.033561,1.1855,0.81023,-0.91515,-0.72641,1.1474,0.34064,1.047,0.49058,-1.1743,-1.2556,0.88177
